"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"503","1.7619","1.7619","1.7619"
"504","1.7888","1.7888","1.7888"
"505","1.7888","1.7888","1.7888"
"506","1.7291","1.7291","1.7291"
"507","1.7291","1.7291","1.7291"
"508","1.6559","1.6559","1.6559"
"509","1.6559","1.6559","1.6559"
"510","1.6429","1.6429","1.6429"
"511","1.6429","1.6429","1.6429"
"512","1.6923","1.6923","1.6923"
"513","1.6923","1.6923","1.6923"
"514","1.7663","1.7663","1.7663"
"515","1.7663","1.7663","1.7663"
"516","1.7646","1.7646","1.7646"
"517","1.7646","1.7646","1.7646"
"518","1.5816","1.5816","1.5816"
"519","1.5816","1.5816","1.5816"
"520","1.6543","1.6543","1.6543"
"521","1.6543","1.6543","1.6543"
"522","1.719","1.719","1.719"
"523","1.719","1.719","1.719"
"524","1.6761","1.6761","1.6761"
"525","1.6761","1.6761","1.6761"
"526","1.7863","1.7863","1.7863"
"527","1.7863","1.7863","1.7863"
"528","1.7411","1.7411","1.7411"
"529","1.7411","1.7411","1.7411"
"530","1.6871","1.6871","1.6871"
"531","1.6871","1.6871","1.6871"
"532","1.7297","1.7297","1.7297"
"533","1.7297","1.7297","1.7297"
"534","1.7918","1.7918","1.7918"
"535","1.7918","1.7918","1.7918"
"536","1.691","1.691","1.691"
"537","1.691","1.691","1.691"
"538","1.7015","1.7015","1.7015"
"539","1.7015","1.7015","1.7015"
"540","1.7609","1.7609","1.7609"
"541","1.7609","1.7609","1.7609"
"542","1.7756","1.7756","1.7756"
"543","1.7756","1.7756","1.7756"
"544","1.692","1.692","1.692"
"545","1.692","1.692","1.692"
"546","1.6816","1.6816","1.6816"
"547","1.6816","1.6816","1.6816"
"548","1.752","1.752","1.752"
"549","1.752","1.752","1.752"
"550","1.7001","1.7001","1.7001"
"551","1.7001","1.7001","1.7001"
"552","1.7209","1.7209","1.7209"
"553","1.7209","1.7209","1.7209"
"554","1.7","1.7","1.7"
"555","1.7","1.7","1.7"
"556","1.8449","1.8449","1.8449"
"557","1.8449","1.8449","1.8449"
"558","1.6373","1.6373","1.6373"
"559","1.6373","1.6373","1.6373"
"560","1.6783","1.6783","1.6783"
"561","1.6783","1.6783","1.6783"
"562","1.7383","1.7383","1.7383"
"563","1.7383","1.7383","1.7383"
"564","1.7253","1.7253","1.7253"
"565","1.7253","1.7253","1.7253"
"566","1.7293","1.7293","1.7293"
"567","1.7293","1.7293","1.7293"
"568","1.6668","1.6668","1.6668"
"569","1.6668","1.6668","1.6668"
"570","1.6724","1.6724","1.6724"
"571","1.6724","1.6724","1.6724"
"572","1.6797","1.6797","1.6797"
"573","1.6797","1.6797","1.6797"
"574","1.6893","1.6893","1.6893"
"575","1.6893","1.6893","1.6893"
"576","1.7907","1.7907","1.7907"
"577","1.7907","1.7907","1.7907"
"578","1.5688","1.5688","1.5688"
"579","1.5688","1.5688","1.5688"
"580","1.6787","1.6787","1.6787"
"581","1.6787","1.6787","1.6787"
"582","1.6981","1.6981","1.6981"
"583","1.6981","1.6981","1.6981"
"584","1.5636","1.5636","1.5636"
"585","1.5636","1.5636","1.5636"
"586","1.5899","1.5899","1.5899"
"587","1.5899","1.5899","1.5899"
"588","1.6919","1.6919","1.6919"
"589","1.6919","1.6919","1.6919"
"590","1.7507","1.7507","1.7507"
