"Step","gallant-terrain-3 - train/loss","gallant-terrain-3 - train/loss__MIN","gallant-terrain-3 - train/loss__MAX"
"697","1.7389","1.7389","1.7389"
"698","1.7385","1.7385","1.7385"
"699","1.7385","1.7385","1.7385"
"700","1.5482","1.5482","1.5482"
"701","1.5482","1.5482","1.5482"
"702","1.6648","1.6648","1.6648"
"703","1.6648","1.6648","1.6648"
"704","1.6759","1.6759","1.6759"
"705","1.6759","1.6759","1.6759"
"706","1.7359","1.7359","1.7359"
"707","1.7359","1.7359","1.7359"
"708","1.7527","1.7527","1.7527"
"709","1.7527","1.7527","1.7527"
"710","1.7657","1.7657","1.7657"
"711","1.7657","1.7657","1.7657"
"712","1.5487","1.5487","1.5487"
"713","1.5487","1.5487","1.5487"
"714","1.6784","1.6784","1.6784"
"715","1.6784","1.6784","1.6784"
"716","1.5376","1.5376","1.5376"
"717","1.5376","1.5376","1.5376"
"718","1.6065","1.6065","1.6065"
"719","1.6065","1.6065","1.6065"
"720","1.6786","1.6786","1.6786"
"721","1.6786","1.6786","1.6786"
"722","1.6875","1.6875","1.6875"
"723","1.6875","1.6875","1.6875"
"724","1.748","1.748","1.748"
"725","1.748","1.748","1.748"
"726","1.6509","1.6509","1.6509"
"727","1.6509","1.6509","1.6509"
"728","1.6789","1.6789","1.6789"
"729","1.6789","1.6789","1.6789"
"730","1.6337","1.6337","1.6337"
"731","1.6337","1.6337","1.6337"
"732","1.581","1.581","1.581"
"733","1.581","1.581","1.581"
"734","1.6559","1.6559","1.6559"
"735","1.6559","1.6559","1.6559"
