"Step","deep-surf-23 - train/loss","deep-surf-23 - train/loss__MIN","deep-surf-23 - train/loss__MAX"
"652","1.4677","1.4677","1.4677"
"653","1.4677","1.4677","1.4677"
"654","1.6172","1.6172","1.6172"
"655","1.6172","1.6172","1.6172"
"656","1.693","1.693","1.693"
"657","1.693","1.693","1.693"
"658","1.5884","1.5884","1.5884"
"659","1.5884","1.5884","1.5884"
"660","1.6586","1.6586","1.6586"
"661","1.6586","1.6586","1.6586"
"662","1.7331","1.7331","1.7331"
"663","1.7331","1.7331","1.7331"
"664","1.4579","1.4579","1.4579"
"665","1.4579","1.4579","1.4579"
"666","1.6751","1.6751","1.6751"
"667","1.6751","1.6751","1.6751"
"668","1.5227","1.5227","1.5227"
"669","1.5227","1.5227","1.5227"
"670","1.5342","1.5342","1.5342"
"671","1.5342","1.5342","1.5342"
"672","1.7019","1.7019","1.7019"
"673","1.7019","1.7019","1.7019"
"674","1.6797","1.6797","1.6797"
"675","1.6797","1.6797","1.6797"
"676","1.4146","1.4146","1.4146"
"677","1.4146","1.4146","1.4146"
"678","1.5136","1.5136","1.5136"
"679","1.5136","1.5136","1.5136"
"680","1.6894","1.6894","1.6894"
"681","1.6894","1.6894","1.6894"
"682","1.5138","1.5138","1.5138"
"683","1.5138","1.5138","1.5138"
"684","1.4797","1.4797","1.4797"
"685","1.4797","1.4797","1.4797"
"686","1.6399","1.6399","1.6399"
"687","1.6399","1.6399","1.6399"
"688","1.7056","1.7056","1.7056"
"689","1.7056","1.7056","1.7056"
"690","1.5451","1.5451","1.5451"
"691","1.5451","1.5451","1.5451"
"692","1.614","1.614","1.614"
"693","1.614","1.614","1.614"
"694","1.6745","1.6745","1.6745"
"695","1.6745","1.6745","1.6745"
"696","1.6196","1.6196","1.6196"
"697","1.6196","1.6196","1.6196"
"698","1.6172","1.6172","1.6172"
"699","1.6172","1.6172","1.6172"
"700","1.4524","1.4524","1.4524"
"701","1.4524","1.4524","1.4524"
"702","1.5518","1.5518","1.5518"
"703","1.5518","1.5518","1.5518"
"704","1.5606","1.5606","1.5606"
"705","1.5606","1.5606","1.5606"
"706","1.6064","1.6064","1.6064"
"707","1.6064","1.6064","1.6064"
"708","1.6305","1.6305","1.6305"
"709","1.6305","1.6305","1.6305"
"710","1.6586","1.6586","1.6586"
"711","1.6586","1.6586","1.6586"
"712","1.4406","1.4406","1.4406"
"713","1.4406","1.4406","1.4406"
"714","1.565","1.565","1.565"
"715","1.565","1.565","1.565"
"716","1.4368","1.4368","1.4368"
"717","1.4368","1.4368","1.4368"
"718","1.499","1.499","1.499"
"719","1.499","1.499","1.499"
"720","1.5687","1.5687","1.5687"
"721","1.5687","1.5687","1.5687"
"722","1.5718","1.5718","1.5718"
"723","1.5718","1.5718","1.5718"
"724","1.6286","1.6286","1.6286"
"725","1.6286","1.6286","1.6286"
"726","1.5391","1.5391","1.5391"
"727","1.5391","1.5391","1.5391"
"728","1.571","1.571","1.571"
"729","1.571","1.571","1.571"
"730","1.5319","1.5319","1.5319"
"731","1.5319","1.5319","1.5319"
"732","1.4865","1.4865","1.4865"
"733","1.4865","1.4865","1.4865"
